Price,Close,High,Low,Open,Volume
Ticker,NSC,NSC,NSC,NSC,NSC
Date,,,,,
2020-01-02,173.99998474121094,173.99998474121094,171.76309580743808,172.45272880332845,1458800
2020-01-03,173.681640625,173.81425712724683,170.80816615434264,170.80816615434264,2003700
2020-01-06,173.23074340820312,173.44294333448832,171.70117439285323,172.5587972114654,2076800
2020-01-07,173.92037963867188,174.82219891796825,172.52342722695983,173.7523897265485,1478900
2020-01-08,174.73382568359375,176.25455829528457,173.2749762933666,174.01766938793722,1133600
2020-01-09,175.3262176513672,175.92743067224768,174.73384123691062,175.78597751445366,1812000
2020-01-10,174.66305541992188,177.465796788235,174.3801222073612,175.8654945913084,1459400
2020-01-13,177.0767822265625,177.16520223415935,173.94691092621957,174.36246067812655,1418400
2020-01-14,178.33226013183594,179.86182905983958,176.8026912038323,177.17403093537663,1315900
2020-01-15,179.38438415527344,180.22432016997337,177.55420892248495,178.38529484281068,1584600
2020-01-16,182.35513305664062,182.66458958792416,180.10940789952198,180.34811763291333,1851100
2020-01-17,185.06948852539062,185.14020834910613,180.2332077460728,181.41796041281236,2247200
2020-01-21,180.91397094726562,184.61854527060785,180.1712914599461,184.34446213773984,1455200
2020-01-22,179.60548400878906,181.7981631183819,179.10152761861352,181.73627989092276,1447800
2020-01-23,184.44168090820312,184.6450306923213,178.3410794566888,178.90693230584085,1301500
2020-01-24,183.77859497070312,185.58224694209875,182.9386589374993,183.90237487569107,1129400
2020-01-27,179.18104553222656,181.98378695126792,179.12799892666087,179.71152507888203,1314100
2020-01-28,181.03778076171875,181.88656709526725,179.0926617156298,179.4816882230478,1456600
2020-01-29,189.94113159179688,194.4060726429413,189.94113159179688,192.0365537888308,3193400
2020-01-30,189.64930725097656,190.17980022010522,187.03222928947002,187.6069322545255,1917100
2020-01-31,184.08807373046875,188.10209126970253,183.47801073535845,187.66885480437796,2163300
2020-02-03,183.0093994140625,186.02432725182797,182.77951280221643,185.59994091680207,1971800
2020-02-04,187.32403564453125,188.56184831715655,184.96336710393066,185.17556703120908,2551200
2020-02-05,189.03042602539062,190.047188574858,188.47340970314437,189.97645527274753,1409800
2020-02-06,188.87057495117188,190.52234943295008,188.2844719161476,189.56326681179206,1001800
2020-02-07,186.6504669189453,188.35553598006226,185.5848089186797,187.68060885778527,2260000
2020-02-10,185.82456970214844,186.30411101654593,184.4125726397039,185.53151140701505,2338300
2020-02-11,185.75355529785156,189.43008449558573,185.66475836202048,187.05011522630036,1425200
2020-02-12,187.3076629638672,188.9150326567066,186.38409614415,187.17446077131441,891700
2020-02-13,186.92576599121094,187.7161304422544,185.60256578753263,186.22419846522254,848600
