Price,Close,High,Low,Open,Volume
Ticker,XRAY,XRAY,XRAY,XRAY,XRAY
Date,,,,,
2020-01-02,50.508235931396484,51.02280955677655,49.79847745618499,50.419517391143316,1556600
2020-01-03,49.94929504394531,50.3662795903405,49.55005488084302,49.89606527846171,910000
2020-01-06,50.224327087402344,50.286430735714745,49.6920057505025,49.71862401720424,751000
2020-01-07,50.490474700927734,50.552578335263895,49.94041248920988,49.99364224184417,792600
2020-01-08,51.02280044555664,51.20024087877254,50.63243419999746,50.70341172704173,1001500
2020-01-09,51.05828857421875,51.5551211041667,50.91633690629001,51.04054419267832,1166800
2020-01-10,51.27122116088867,51.43091722092481,50.738899832636534,51.16475486460127,882900
2020-01-13,51.555110931396484,51.68818869009896,51.147000389678404,51.15587088650094,1196700
2020-01-14,52.131805419921875,52.14954980389445,51.12927310843534,51.546254286407674,951100
2020-01-15,52.433448791503906,53.03674425851232,51.954364001910676,52.04308252995519,1297300
2020-01-16,53.356136322021484,53.47147311588183,52.64637794517882,52.78832962054736,1562400
2020-01-17,53.19644546508789,53.56019688030766,52.93915697070446,53.24967861770367,1045400
2020-01-21,53.533573150634766,53.781987719671434,53.01012574845416,53.16982179551907,1417000
2020-01-22,53.88846206665039,54.003795485583545,53.356140702023986,53.66666234415485,2383800
2020-01-23,52.930274963378906,53.79972929403969,52.51329048619877,53.79972929403969,914900
2020-01-24,52.930274963378906,53.01012298274543,51.874509715661056,52.903660085054895,975200
2020-01-27,52.99238967895508,53.63117396740704,52.31812000678539,52.47781607889838,1255200
2020-01-28,52.415706634521484,53.116591113124635,52.39796225242593,53.02787258704166,1081500
2020-01-29,52.282630920410156,52.68187109826232,52.23827165273662,52.602023062691885,1022500
2020-01-30,51.1292724609375,52.08744549255595,50.68567302042642,52.08744549255595,1231000
2020-01-31,49.683135986328125,51.89226262913975,49.36374385634137,50.907471356478965,1625800
2020-02-03,49.34598922729492,52.495543838459646,49.239526334202736,49.896054841125626,1324000
2020-02-04,50.1888313293457,50.40176051132044,49.674257831531435,49.80733560892043,1081700
2020-02-05,50.76551055908203,51.06715825163827,50.250933689970736,50.543710884684636,1084000
2020-02-06,51.1026496887207,51.30670839163695,50.22432476918922,50.22432476918922,938400
2020-02-07,50.6590576171875,51.18250512196538,50.63244273225831,51.06717169767533,1254900
2020-02-10,50.96957015991211,50.99618504008231,50.259811818750556,50.446122748731455,520300
2020-02-11,51.457523345947266,51.688193513192125,50.623557806653544,50.99617962706317,532200
2020-02-12,51.46640396118164,51.652718292407656,51.0937820675197,51.448662962393485,1482500
2020-02-13,51.555110931396484,51.643829437198136,50.845352731801114,51.49300730045652,860300
2020-02-14,51.3244514465332,51.45753262604822,50.020271455502986,51.315580947283195,1150400
2020-02-18,51.38655471801758,51.44866174989258,50.596948299146995,51.37768421883255,1119600
2020-02-19,51.980979919433594,52.25601277688487,51.57286926726329,51.67933217991751,938200
